id,title,genres,overview,rating,year
1,The Shawshank Redemption,Drama,Two imprisoned men bond over years finding solace and redemption through acts of decency.,9.3,1994
2,The Godfather,Crime Drama,The aging patriarch of an organized crime dynasty transfers control to his reluctant son.,9.2,1972
3,The Dark Knight,Action Thriller,Batman battles the Joker a criminal mastermind who creates chaos in Gotham City.,9.0,2008
4,Pulp Fiction,Crime Drama,The lives of two hitmen a boxer a gangster and his wife intertwine in tales of violence.,8.9,1994
5,Forrest Gump,Drama Romance,The presidencies of Kennedy and Johnson Vietnam Watergate through the eyes of an Alabama man.,8.8,1994
6,Inception,Sci-Fi Thriller,A thief who steals corporate secrets through dream-sharing technology is given a task to plant an idea.,8.8,2010
7,The Matrix,Sci-Fi Action,A computer hacker learns reality is a simulation and joins a rebellion against machines.,8.7,1999
8,Goodfellas,Crime Drama,The story of Henry Hill and his life in the mob covering his relationship with his wife.,8.7,1990
9,The Silence of the Lambs,Thriller Horror,A young FBI cadet seeks help from imprisoned cannibal Hannibal Lecter to catch a serial killer.,8.6,1991
10,Interstellar,Sci-Fi Drama,A team of explorers travel through a wormhole in space in an attempt to ensure humanity survival.,8.6,2014
11,The Lion King,Animation Drama,Lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.,8.5,1994
12,Toy Story,Animation Comedy,A cowboy doll is threatened by a new spaceman figure as the favorite toy of Andy.,8.3,1995
13,Finding Nemo,Animation Comedy,After his son is taken by a diver a clownfish sets out on a journey to bring him home.,8.1,2003
14,The Avengers,Action Sci-Fi,Earths mightiest heroes must come together to stop Loki from conquering Earth.,8.0,2012
15,Titanic,Drama Romance,A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the Titanic.,7.9,1997
16,Jurassic Park,Sci-Fi Action,During a preview tour a theme park suffers a major power breakdown and dinosaurs escape.,8.1,1993
17,The Truman Show,Drama Comedy,An insurance salesman discovers his whole life is a TV show.,8.1,1998
18,Schindlers List,Drama History,In German-occupied Poland during World War II industrialist Oskar Schindler saves Jewish lives.,8.9,1993
19,Fight Club,Drama Thriller,An insomniac office worker and a soap salesman build a network of underground fight clubs.,8.8,1999
20,Gladiator,Action Drama,A Roman general is betrayed and his family murdered by a corrupt prince.,8.5,2000
21,The Departed,Crime Thriller,An undercover cop and a mole in the police attempt to identify each other.,8.5,2006
22,Saving Private Ryan,War Drama,American soldiers behind enemy lines are ordered to find a paratrooper whose brothers have been killed.,8.6,1998
23,Braveheart,Action Drama History,Scottish warrior William Wallace leads a revolt against the cruel English ruler Edward I.,8.4,1995
24,Back to the Future,Sci-Fi Comedy,A teenager is accidentally sent back in time to 1955 where he must ensure his parents meet.,8.5,1985
25,The Terminator,Sci-Fi Action,A cyborg assassin is sent from the future to kill the mother of the man who will lead humanity.,8.1,1984
26,Alien,Sci-Fi Horror,The crew of a commercial spacecraft encounters a deadly extraterrestrial life form.,8.5,1979
27,Blade Runner,Sci-Fi Thriller,A blade runner must pursue and terminate four replicants who stole a ship.,8.1,1982
28,E.T. the Extra-Terrestrial,Sci-Fi Drama,A lonely boy befriends a gentle alien who is stranded on Earth.,7.8,1982
29,Home Alone,Comedy,An eight-year-old kid is accidentally left behind while his family flies to France.,7.7,1990
30,Die Hard,Action Thriller,A New York cop must foil an elaborate heist at a Los Angeles skyscraper Christmas party.,8.2,1988
31,The Princess Bride,Romance Comedy Adventure,A farmhand boy rescues a princess from an evil prince with the help of colorful companions.,8.0,1987
32,Groundhog Day,Comedy Drama,A weatherman finds himself reliving the same day over and over again.,8.0,1993
33,Clueless,Comedy Romance,A rich high school student uses her popularity to help those around her while searching for love.,7.0,1995
34,Mean Girls,Comedy,A girl who was homeschooled transfers to a public high school and falls in with a clique.,7.1,2004
35,The Grand Budapest Hotel,Comedy Adventure,The adventures of a legendary concierge at a famous hotel between the wars.,8.1,2014
36,Parasite,Thriller Drama,A poor family schemes to become employed by a wealthy family.,8.6,2019
37,Get Out,Horror Thriller,A young African-American man visits his white girlfriends parents for the weekend.,7.7,2017
38,A Quiet Place,Horror Sci-Fi,A family struggles to survive in a post-apocalyptic world inhabited by blind monsters.,7.5,2018
39,Hereditary,Horror Drama,A grieving family is haunted by tragic and disturbing occurrences.,7.3,2018
40,The Conjuring,Horror Thriller,Paranormal investigators help a family terrorized by a dark presence in their farmhouse.,7.5,2013
41,Avengers Endgame,Action Sci-Fi,The surviving heroes work to reverse the damage done by Thanos and restore balance.,8.4,2019
42,Black Panther,Action Sci-Fi,The king of Wakanda must defend his nation from a vengeful outsider.,7.3,2018
43,Wonder Woman,Action Drama,An Amazonian princess leaves her island to fight in World War I.,7.4,2017
44,Spider-Man Into the Spider-Verse,Animation Action,Teen Miles Morales becomes the Spider-Man of his universe and meets alternate versions.,8.4,2018
45,Coco,Animation Drama,A young boy who dreams of becoming a musician embarks on an extraordinary journey to the Land of the Dead.,8.4,2017
46,Up,Animation Drama Adventure,A 78-year-old man flies to Paradise Falls with a young boy accidentally tagging along.,8.3,2009
47,WALL-E,Animation Sci-Fi Romance,A small waste-collecting robot inadvertently embarks on a space journey that will determine the fate of mankind.,8.4,2008
48,Inside Out,Animation Drama,A young girl is uprooted from her life when her family relocates forcing her emotions into turmoil.,8.2,2015
49,Knives Out,Mystery Thriller,A detective investigates the death of a patriarch of an eccentric wealthy family.,7.9,2019
50,Memento,Thriller Mystery,A man with short-term memory loss attempts to track down his wifes murderer.,8.4,2000
51,The Prestige,Drama Thriller Mystery,Two stage magicians engage in a bitter rivalry and resort to sabotage and trickery.,8.5,2006
52,Whiplash,Drama Music,A promising young drummer enrolls at a cutthroat music conservatory and is pushed beyond his limits.,8.5,2014
53,La La Land,Romance Drama Music,A jazz musician and an aspiring actress fall in love in Los Angeles.,8.0,2016
54,The Wolf of Wall Street,Crime Drama Comedy,Based on the true story of Jordan Belfort a stockbroker who engages in corruption and fraud.,8.2,2013
55,Django Unchained,Western Action,A freed slave and a German bounty hunter set out to rescue the slave's wife.,8.4,2012
56,Inglourious Basterds,War Drama Thriller,In Nazi-occupied France a group of Jewish soldiers plan to assassinate Nazi leaders.,8.3,2009
